timestamp,monotonic_s,container_memory_bytes,container_memory_peak_bytes,container_anon_bytes,container_file_bytes,container_swap_bytes,container_swap_peak_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_used_bytes,pids_current,cpu_usage_usec,cpu_user_usec,cpu_system_usec,oom_events,oom_kill_events
2026-08-31T02:54:01.628586+00:00,0.001,45867008,46583808,35033088,9224192,0,0,15921020928,25769799680,6328320,5,1087565,996607,90957,0,0
2026-08-31T02:54:02.629541+00:00,1.002,200847360,200847360,151085056,42946560,0,0,15768985600,25769799680,6328320,16,2295535,2096266,199268,0,0
2026-08-31T02:54:03.630502+00:00,2.003,261709824,261709824,194404352,58802176,0,0,15723622400,25769799680,6328320,16,3109946,2809754,300192,0,0
2026-08-31T02:54:04.631698+00:00,3.004,313470976,313573376,233754624,69578752,0,0,15683698688,25769799680,6328320,17,4114688,3624781,489907,0,0
2026-08-31T02:54:05.632753+00:00,4.005,350449664,350449664,261386240,77107200,0,0,15655432192,25769799680,6328320,17,4965207,4390784,574422,0,0
2026-08-31T02:54:06.633893+00:00,5.006,409108480,409223168,303411200,91746304,0,0,15608602624,25769799680,6328320,17,6125467,5442236,683231,0,0
2026-08-31T02:54:07.634910+00:00,6.007,466567168,466567168,342659072,108568576,0,0,15570927616,25769799680,6328320,17,6976682,6206921,769760,0,0
2026-08-31T02:54:08.636110+00:00,7.008,523149312,523149312,367013888,139042816,0,0,15539806208,25769799680,6328320,17,7685235,6820142,865092,0,0
2026-08-31T02:54:09.637166+00:00,8.009,555634688,555634688,371609600,165474304,0,0,15541047296,25769799680,6328320,17,8421069,7471528,949541,0,0
2026-08-31T02:54:10.638185+00:00,9.010,599158784,599162880,409759744,170049536,0,0,15506141184,25769799680,6328320,21,9531082,8481986,1049096,0,0
2026-08-31T02:54:11.639106+00:00,10.011,790421504,790683648,600154112,170065920,0,0,15320641536,25769799680,6328320,22,10691027,9466477,1224550,0,0
2026-08-31T02:54:12.640198+00:00,11.012,1027399680,1027399680,836304896,170065920,0,0,15083122688,25769799680,6328320,22,11693066,10320056,1373010,0,0
2026-08-31T02:54:13.641247+00:00,12.013,1603592192,1666146304,1411305472,170102784,0,0,14151774208,25769799680,6328320,22,12761371,10542019,2219352,0,0
2026-08-31T02:54:14.642222+00:00,13.014,1334661120,1700777984,1120280576,192360448,0,0,14389153792,25769799680,6328320,22,13740769,11084252,2656516,0,0
2026-08-31T02:54:15.643153+00:00,14.015,1921417216,1921667072,1667317760,229916672,0,0,13845159936,25769799680,6328320,33,15232004,12261970,2970033,0,0
2026-08-31T02:54:16.643984+00:00,15.016,2112245760,2114342912,1848188928,239194112,0,0,13614006272,25769799680,6328320,33,17159199,13994810,3164388,0,0
2026-08-31T02:54:17.644977+00:00,16.017,2127953920,2282143744,1859502080,243765248,0,0,13492285440,25769799680,6328320,33,19089280,15755092,3334187,0,0
2026-08-31T02:54:18.646120+00:00,17.018,2306555904,2319245312,2037501952,243765248,0,0,13373173760,25769799680,6328320,33,21090365,17664999,3425365,0,0
2026-08-31T02:54:19.647112+00:00,18.019,2336722944,2418675712,2067693568,243765248,0,0,13338472448,25769799680,6328320,33,23082658,19594773,3487885,0,0
2026-08-31T02:54:20.648152+00:00,19.020,2398347264,2439462912,2129178624,243765248,0,0,13320839168,25769799680,6328320,33,25078691,21548178,3530513,0,0
2026-08-31T02:54:21.649325+00:00,20.021,2398294016,2439462912,2129219584,243765248,0,0,13334433792,25769799680,6328320,33,27087674,23554324,3533349,0,0
2026-08-31T02:54:22.650293+00:00,21.022,2398064640,2439462912,2129264640,243765248,0,0,13350531072,25769799680,6328320,33,29085817,25541306,3544511,0,0
2026-08-31T02:54:23.651463+00:00,22.024,2363305984,2444103680,2094706688,243765248,0,0,13438251008,25769799680,6328320,33,31086731,27510593,3576138,0,0
2026-08-31T02:54:24.652484+00:00,23.025,2364882944,2445549568,2096066560,243765248,0,0,13497053184,25769799680,6328320,33,33085896,29486289,3599606,0,0
2026-08-31T02:54:25.653457+00:00,24.026,2337947648,2445549568,2069184512,243765248,0,0,13526167552,25769799680,6328320,33,35068105,31440648,3627456,0,0
2026-08-31T02:54:26.654920+00:00,25.027,2338111488,2445549568,2069184512,243765248,0,0,13500067840,25769799680,6328320,33,37058480,33363455,3695025,0,0
2026-08-31T02:54:27.657533+00:00,26.030,2364669952,2445549568,2096119808,243765248,0,0,13507510272,25769799680,6328320,33,39062295,35339972,3722322,0,0
2026-08-31T02:54:28.658375+00:00,27.030,2364854272,2446983168,2096123904,243765248,0,0,13501239296,25769799680,6328320,33,41055159,37305016,3750143,0,0
2026-08-31T02:54:29.659210+00:00,28.031,2337382400,2446983168,2069241856,243765248,0,0,13565833216,25769799680,6328320,33,43054680,39260799,3793880,0,0
